board_size,game_time,agent_x_name,agent_o_name,agent_x_time,agent_o_time,winner
3,0.0001769065856933,RLAgent,Random Agent,2.266666676102129e-05,7.033348083496094e-06,RLAgent
3,0.000169038772583,RLAgent,Random Agent,2.1417000122407145e-05,6.4373016357421875e-06,RLAgent
3,0.0002219676971435,RLAgent,Random Agent,1.9562750139812124e-05,7.0730845133463544e-06,RLAgent
3,0.0002238750457763,RLAgent,Random Agent,1.959349992830539e-05,6.993611653645833e-06,RLAgent
3,0.0002412796020507,RLAgent,Random Agent,2.0167000002402347e-05,6.198883056640625e-06,Random Agent
3,0.0002291202545166,RLAgent,Random Agent,2.078149987028155e-05,6.357828776041667e-06,RLAgent
3,0.0002167224884033,RLAgent,Random Agent,1.9083249981122208e-05,6.7551930745442706e-06,RLAgent
3,0.0002098083496093,RLAgent,Random Agent,1.8749999753708835e-05,6.198883056640625e-06,RLAgent
3,0.0002229213714599,RLAgent,Random Agent,2.044799998657254e-05,6.7551930745442706e-06,RLAgent
3,0.0001718997955322,RLAgent,Random Agent,2.127766644359023e-05,7.033348083496094e-06,RLAgent
3,0.0001699924468994,RLAgent,Random Agent,2.1040999854449183e-05,7.033348083496094e-06,RLAgent
3,0.0001630783081054,RLAgent,Random Agent,1.9806000030560728e-05,6.67572021484375e-06,RLAgent
3,0.000223159790039,RLAgent,Random Agent,2.0510500007731025e-05,6.2783559163411456e-06,RLAgent
3,0.0001742839813232,RLAgent,Random Agent,2.1208333540319774e-05,6.4373016357421875e-06,RLAgent
3,0.0001962184906005,RLAgent,Random Agent,2.1347333434581135e-05,6.7551930745442706e-06,Random Agent
3,0.0002810955047607,RLAgent,Random Agent,1.9850400167342745e-05,7.152557373046875e-06,RLAgent
3,0.0001609325408935,RLAgent,Random Agent,2.006933330752266e-05,6.556510925292969e-06,RLAgent
3,0.0001630783081054,RLAgent,Random Agent,1.9833333377998013e-05,5.9604644775390625e-06,RLAgent
3,0.000227928161621,RLAgent,Random Agent,2.071850008178444e-05,6.7551930745442706e-06,RLAgent
3,0.0002260208129882,RLAgent,Random Agent,2.0177000124022015e-05,6.4373016357421875e-06,RLAgent
3,0.0001730918884277,RLAgent,Random Agent,2.118066671149184e-05,6.556510925292969e-06,RLAgent
3,0.0002250671386718,RLAgent,Random Agent,2.051024989668804e-05,7.0730845133463544e-06,RLAgent
3,0.0002939701080322,RLAgent,Random Agent,2.124160037055845e-05,6.973743438720703e-06,RLAgent
3,0.0002200603485107,RLAgent,Random Agent,1.9541499568731524e-05,7.311503092447917e-06,RLAgent
3,0.0002329349517822,RLAgent,Random Agent,2.2583250029128976e-05,6.67572021484375e-06,RLAgent
3,0.0002481937408447,RLAgent,Random Agent,2.4041750066317036e-05,7.2320302327473956e-06,RLAgent
3,0.000291109085083,RLAgent,Random Agent,1.964999974006787e-05,7.987022399902344e-06,Draw
3,0.0002329349517822,RLAgent,Random Agent,2.1895500140090007e-05,6.993611653645833e-06,RLAgent
3,0.000291109085083,RLAgent,Random Agent,2.1166599799471443e-05,7.092952728271484e-06,RLAgent
3,0.0001788139343261,RLAgent,Random Agent,2.2236333279579412e-05,6.9141387939453125e-06,RLAgent
3,0.0002872943878173,RLAgent,Random Agent,2.0524999854387715e-05,7.092952728271484e-06,Draw
3,0.000176191329956,RLAgent,Random Agent,2.19443336391123e-05,7.62939453125e-06,RLAgent
3,0.0002250671386718,RLAgent,Random Agent,2.0968499939044705e-05,7.311503092447917e-06,RLAgent
3,0.0001740455627441,RLAgent,Random Agent,2.2124667035920236e-05,6.9141387939453125e-06,RLAgent
3,0.0002250671386718,RLAgent,Random Agent,2.027049981734308e-05,6.9141387939453125e-06,RLAgent
3,0.0002851486206054,RLAgent,Random Agent,1.9999999676656443e-05,7.212162017822266e-06,RLAgent
3,0.000166893005371,RLAgent,Random Agent,2.0027666626750335e-05,6.556510925292969e-06,RLAgent
3,0.0002880096435546,RLAgent,Random Agent,1.9950200112361927e-05,6.735324859619141e-06,Draw
3,0.0002899169921875,RLAgent,Random Agent,1.997520012082532e-05,6.496906280517578e-06,Draw
3,0.0002582073211669,RLAgent,Random Agent,1.8258600175613537e-05,6.198883056640625e-06,RLAgent
3,0.0001742839813232,RLAgent,Random Agent,2.2027333519266296e-05,7.510185241699219e-06,RLAgent
3,0.0001740455627441,RLAgent,Random Agent,2.129133311730887e-05,7.033348083496094e-06,RLAgent
